ClassName,Category,ElementName,LocatorName,ExpectedText
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Manage Stress
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Quit Tobacco
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Decrease Weight
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Improve Blood Pressure
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Improve Cholesterol
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Improve Dietary Habits
Page_CoachingLearnMore,recomandationtile,recommandationafterha,coaching_recommended,Improve Fitness Level

Page_CoachingLearnMore,notrecomandationtile,recommandationafterha,coaching_recommended,Maintain Tobacco-Free Status
Page_CoachingLearnMore,notrecomandationtile,recommandationafterha,coaching_recommended,Maintain Weight
